,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y
0,49,0,0,0,2,0,0,0,11,4,227,4,999,0,0,0
1,37,1,0,1,0,0,0,1,11,4,202,2,999,1,1,0
2,78,2,0,2,0,0,0,0,7,2,1148,1,999,0,0,1
3,36,3,0,1,0,1,0,1,5,2,120,2,999,0,0,0
4,59,2,1,1,0,0,0,0,6,3,368,2,999,0,0,0
5,29,3,2,1,0,0,0,0,8,4,256,2,999,0,0,0
6,26,4,2,0,0,0,0,1,8,4,449,1,999,0,0,1
7,30,0,0,2,0,1,0,0,11,4,126,2,999,0,0,0
8,50,0,0,2,2,0,0,1,5,6,574,1,999,0,0,0
9,33,3,2,3,0,1,0,0,7,3,498,5,999,0,0,0
10,44,5,1,3,0,1,0,0,7,2,158,5,999,0,0,0
11,32,6,0,1,0,1,0,1,5,6,93,5,999,0,0,0
12,26,7,2,4,0,1,0,0,7,5,71,1,999,0,0,0
13,43,8,0,1,0,0,1,1,7,5,203,1,999,0,0,0
14,56,0,0,0,0,0,0,0,5,5,369,1,999,0,0,0
15,40,0,0,0,0,1,0,0,5,4,954,1,999,0,0,1
16,32,3,1,1,0,1,0,0,8,3,105,1,999,0,0,0
17,47,6,2,4,2,0,0,1,5,3,148,5,999,0,0,0
18,50,5,2,2,0,1,0,1,5,3,98,9,999,0,0,0
19,34,3,2,1,0,0,1,0,3,3,288,2,3,1,2,1
20,46,5,0,5,0,0,0,0,8,3,177,1,999,0,0,0
21,39,0,0,2,0,0,0,0,5,5,155,1,999,0,0,0
22,41,3,1,6,0,0,0,1,7,2,141,1,999,0,0,0
23,30,6,2,5,0,1,0,1,5,2,144,3,999,0,0,0
24,55,9,1,1,0,0,0,0,3,3,212,3,6,3,2,1
25,33,0,2,2,0,1,0,0,10,6,146,1,999,1,1,0
26,46,5,0,3,0,0,0,0,4,4,325,2,999,0,0,0
27,38,0,1,3,0,1,1,0,11,4,291,1,999,0,0,0
28,36,3,1,1,2,1,1,0,7,4,103,1,999,0,0,0
